# x y r theta psi omega ur utheta ux uy speed
2.5000000000e-01 0.0000000000e+00 2.5000000000e-01 0.0000000000e+00 0.0000000000e+00 -9.9787853101e-02 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00
2.5001000000e-01 0.0000000000e+00 2.5001000000e-01 0.0000000000e+00 4.9893926551e-12 -9.8429467808e-02 7.1620667788e-05 -9.9066523282e-07 7.1620667788e-05 -9.9066523282e-07 7.1627518957e-05
2.5002108534e-01 0.0000000000e+00 2.5002108534e-01 0.0000000000e+00 2.2013823138e-11 -9.3328900097e-02 3.1985049309e-04 -2.0525327639e-06 3.1985049309e-04 -2.0525327639e-06 3.1985707874e-04
2.5003337383e-01 0.0000000000e+00 2.5003337383e-01 0.0000000000e+00 5.4275918052e-11 -8.3655873490e-02 8.0126701212e-04 -3.1387762690e-06 8.0126701212e-04 -3.1387762690e-06 8.0127315981e-04
2.5004699603e-01 0.0000000000e+00 2.5004699603e-01 0.0000000000e+00 1.0478541545e-10 -6.8853756700e-02 1.5821477936e-03 -4.1761304779e-06 1.5821477936e-03 -4.1761304779e-06 1.5821533051e-03
2.5006209671e-01 0.0000000000e+00 2.5006209671e-01 0.0000000000e+00 1.7568618033e-10 -4.9113400609e-02 2.7368896381e-03 -5.0652063622e-06 2.7368896381e-03 -5.0652063622e-06 2.7368943252e-03
2.5007883634e-01 0.0000000000e+00 2.5007883634e-01 0.0000000000e+00 2.6734178755e-10 -2.5717916047e-02 4.3444933451e-03 -5.6897070866e-06 4.3444933451e-03 -5.6897070866e-06 4.3444970709e-03
2.5009739279e-01 0.0000000000e+00 2.5009739279e-01 0.0000000000e+00 3.7733159526e-10 -1.3073111226e-03 6.4828575858e-03 -5.9384375385e-06 6.4828575858e-03 -5.9384375385e-06 6.4828603057e-03
2.5011796325e-01 0.0000000000e+00 2.5011796325e-01 0.0000000000e+00 4.9974174730e-10 2.0295394470e-02 9.2213275363e-03 -5.7409596775e-06 9.2213275363e-03 -5.7409596775e-06 9.2213293234e-03
2.5014076631e-01 0.0000000000e+00 2.5014076631e-01 0.0000000000e+00 6.2534952692e-10 3.4990019573e-02 1.2613106059e-02 -5.1083132111e-06 1.2613106059e-02 -5.1083132111e-06 1.2613107093e-02
2.5016604428e-01 0.0000000000e+00 2.5016604428e-01 0.0000000000e+00 7.4326704866e-10 4.0025741916e-02 1.6690402305e-02 -4.1577983031e-06 1.6690402305e-02 -4.1577983031e-06 1.6690402823e-02
2.5019406579e-01 0.0000000000e+00 2.5019406579e-01 0.0000000000e+00 8.4402490767e-10 3.5647768751e-02 2.1465612310e-02 -3.0951184341e-06 2.1465612310e-02 -3.0951184341e-06 2.1465612534e-02
2.5022512859e-01 0.0000000000e+00 2.5022512859e-01 0.0000000000e+00 9.2292967875e-10 2.5439073552e-02 2.6940164001e-02 -2.1438925467e-06 2.6940164001e-02 -2.1438925467e-06 2.6940164087e-02
2.5025956276e-01 0.0000000000e+00 2.5025956276e-01 0.0000000000e+00 9.8162638539e-10 1.4496594899e-02 3.3118708448e-02 -1.4538282100e-06 3.3118708448e-02 -1.4538282100e-06 3.3118708480e-02
2.5029773423e-01 0.0000000000e+00 2.5029773423e-01 0.0000000000e+00 1.0265096349e-09 6.5133833469e-03 4.0022474468e-02 -1.0503021278e-06 4.0022474468e-02 -1.0503021278e-06 4.0022474481e-02
2.5034004861e-01 0.0000000000e+00 2.5034004861e-01 0.0000000000e+00 1.0650642785e-09 2.2778877430e-03 4.7695799468e-02 -8.6169469347e-07 4.7695799468e-02 -8.6169469347e-07 4.7695799476e-02
2.5038695556e-01 0.0000000000e+00 2.5038695556e-01 0.0000000000e+00 1.1029122995e-09 6.1412505812e-04 5.6204916904e-02 -7.9116198044e-07 5.6204916904e-02 -7.9116198044e-07 5.6204916909e-02
2.5043895352e-01 0.0000000000e+00 2.5043895352e-01 0.0000000000e+00 1.1431454100e-09 1.2626190709e-04 6.5633136899e-02 -7.6909731347e-07 6.5633136899e-02 -7.6909731347e-07 6.5633136904e-02
2.5049659504e-01 0.0000000000e+00 2.5049659504e-01 0.0000000000e+00 1.1871804347e-09 1.8640864201e-05 7.6076881866e-02 -7.6198762201e-07 7.6076881866e-02 -7.6198762201e-07 7.6076881870e-02
2.5056049264e-01 0.0000000000e+00 2.5056049264e-01 0.0000000000e+00 1.2357308834e-09 6.2520512659e-07 8.7644090128e-02 -7.5831589974e-07 8.7644090128e-02 -7.5831589974e-07 8.7644090131e-02
2.5063132533e-01 0.0000000000e+00 2.5063132533e-01 0.0000000000e+00 1.2893266164e-09 -1.6657434367e-06 1.0045433061e-01 -7.5517007401e-07 1.0045433061e-01 -7.5517007401e-07 1.0045433061e-01
2.5070984580e-01 0.0000000000e+00 2.5070984580e-01 0.0000000000e+00 1.3484938850e-09 -1.8626923726e-06 1.1463969552e-01 -7.5199547837e-07 1.1463969552e-01 -7.5199547837e-07 1.1463969553e-01
2.5079688843e-01 0.0000000000e+00 2.5079688843e-01 0.0000000000e+00 1.4138018013e-09 -1.8444695614e-06 1.3034599097e-01 -7.4870878222e-07 1.3034599097e-01 -7.4870878222e-07 1.3034599097e-01
2.5089337817e-01 0.0000000000e+00 2.5089337817e-01 0.0000000000e+00 1.4858745284e-09 -1.8092234632e-06 1.4773407687e-01 -7.4529703540e-07 1.4773407687e-01 -7.4529703540e-07 1.4773407688e-01
2.5100034037e-01 0.0000000000e+00 2.5100034037e-01 0.0000000000e+00 1.5653974921e-09 -1.7733441645e-06 1.6698132862e-01 -7.4175492223e-07 1.6698132862e-01 -7.4175492223e-07 1.6698132862e-01
2.5111891163e-01 0.0000000000e+00 2.5111891163e-01 0.0000000000e+00 1.6531231460e-09 -1.7379809025e-06 1.8828322077e-01 -7.3807728894e-07 1.8828322077e-01 -7.3807728894e-07 1.8828322077e-01
2.5125035194e-01 0.0000000000e+00 2.5125035194e-01 0.0000000000e+00 1.7498770931e-09 -1.7032701299e-06 2.1185503750e-01 -7.3425842143e-07 2.1185503750e-01 -7.3425842143e-07 2.1185503750e-01
2.5139605804e-01 0.0000000000e+00 2.5139605804e-01 0.0000000000e+00 1.8565646695e-09 -1.6692942441e-06 2.3793371385e-01 -7.3029195284e-07 2.3793371385e-01 -7.3029195284e-07 2.3793371385e-01
2.5155757825e-01 0.0000000000e+00 2.5155757825e-01 0.0000000000e+00 1.9741780105e-09 -1.6361338516e-06 2.6677981060e-01 -7.2617081121e-07 2.6677981060e-01 -7.2617081121e-07 2.6677981060e-01
2.5173662894e-01 0.0000000000e+00 2.5173662894e-01 0.0000000000e+00 2.1038036132e-09 -1.6038703037e-06 2.9867962355e-01 -7.2188716248e-07 2.9867962355e-01 -7.2188716248e-07 2.9867962355e-01
2.5193511279e-01 0.0000000000e+00 2.5193511279e-01 0.0000000000e+00 2.2466303971e-09 -1.5725859914e-06 3.3394742547e-01 -7.1743234541e-07 3.3394742547e-01 -7.1743234541e-07 3.3394742547e-01
2.5215513894e-01 0.0000000000e+00 2.5215513894e-01 0.0000000000e+00 2.4039582583e-09 -1.5423645523e-06 3.7292783551e-01 -7.1279679800e-07 3.7292783551e-01 -7.1279679800e-07 3.7292783552e-01
2.5239904547e-01 0.0000000000e+00 2.5239904547e-01 0.0000000000e+00 2.5772070984e-09 -1.5132910713e-06 4.1599830685e-01 -7.0796997527e-07 4.1599830685e-01 -7.0796997527e-07 4.1599830685e-01
2.5266942424e-01 0.0000000000e+00 2.5266942424e-01 0.0000000000e+00 2.7679262953e-09 -1.4854522710e-06 4.6357171771e-01 -7.0294025829e-07 4.6357171771e-01 -7.0294025829e-07 4.6357171771e-01
2.5296914839e-01 0.0000000000e+00 2.5296914839e-01 0.0000000000e+00 2.9778045602e-09 -1.4589366775e-06 5.1609904449e-01 -6.9769485556e-07 5.1609904449e-01 -6.9769485556e-07 5.1609904449e-01
2.5330140289e-01 0.0000000000e+00 2.5330140289e-01 0.0000000000e+00 3.2086801015e-09 -1.4338347436e-06 5.7407208750e-01 -6.9221969755e-07 5.7407208750e-01 -6.9221969755e-07 5.7407208750e-01
2.5366971841e-01 0.0000000000e+00 2.5366971841e-01 0.0000000000e+00 3.4625509842e-09 -1.4102388984e-06 6.3802620942e-01 -6.8649932644e-07 6.3802620942e-01 -6.8649932644e-07 6.3802620942e-01
2.5407800880e-01 0.0000000000e+00 2.5407800880e-01 0.0000000000e+00 3.7415855319e-09 -1.3882434783e-06 7.0854303488e-01 -6.8051678402e-07 7.0854303488e-01 -6.8051678402e-07 7.0854303488e-01
2.5453061271e-01 0.0000000000e+00 2.5453061271e-01 0.0000000000e+00 4.0481325745e-09 -1.3679444786e-06 7.8625304398e-01 -6.7425350225e-07 7.8625304398e-01 -6.7425350225e-07 7.8625304398e-01
2.5503233968e-01 0.0000000000e+00 2.5503233968e-01 0.0000000000e+00 4.3847312857e-09 -1.3494390342e-06 8.7183797478e-01 -6.6768920149e-07 8.7183797478e-01 -6.6768920149e-07 8.7183797478e-01
2.5558852125e-01 0.0000000000e+00 2.5558852125e-01 0.0000000000e+00 4.7541202866e-09 -1.3328245058e-06 9.6603292737e-01 -6.6080180360e-07 9.6603292737e-01 -6.6080180360e-07 9.6603292737e-01
2.5620506760e-01 0.0000000000e+00 2.5620506760e-01 0.0000000000e+00 5.1592456152e-09 -1.3181969945e-06 1.0696280352e+00 -6.5356736938e-07 1.0696280352e+00 -6.5356736938e-07 1.0696280352e+00
2.5688853039e-01 0.0000000000e+00 2.5688853039e-01 0.0000000000e+00 5.6032670721e-09 -1.3056490435e-06 1.1834695358e+00 -6.4596006989e-07 1.1834695358e+00 -6.4596006989e-07 1.1834695358e+00
2.5764617236e-01 0.0000000000e+00 2.5764617236e-01 0.0000000000e+00 6.0895623493e-09 -1.2952661877e-06 1.3084600323e+00 -6.3795220543e-07 1.3084600323e+00 -6.3795220543e-07 1.3084600323e+00
2.5848604447e-01 0.0000000000e+00 2.5848604447e-01 0.0000000000e+00 6.6217282461e-09 -1.2871218926e-06 1.4455576854e+00 -6.2951428556e-07 1.4455576854e+00 -6.2951428556e-07 1.4455576854e+00
2.5941707154e-01 0.0000000000e+00 2.5941707154e-01 0.0000000000e+00 7.2035781503e-09 -1.2812702561e-06 1.5957740103e+00 -6.2061518359e-07 1.5957740103e+00 -6.2061518359e-07 1.5957740103e+00
2.6044914700e-01 0.0000000000e+00 2.6044914700e-01 0.0000000000e+00 7.8391348470e-09 -1.2777356319e-06 1.7601698737e+00 -6.1122238348e-07 1.7601698737e+00 -6.1122238348e-07 1.7601698737e+00
2.6159323806e-01 0.0000000000e+00 2.6159323806e-01 0.0000000000e+00 8.5326175968e-09 -1.2764980654e-06 1.9398491769e+00 -6.0130233108e-07 1.9398491769e+00 -6.0130233108e-07 1.9398491769e+00
2.6286150227e-01 0.0000000000e+00 2.6286150227e-01 0.0000000000e+00 9.2884223060e-09 -1.2774731040e-06 2.1359495834e+00 -5.9082090092e-07 2.1359495834e+00 -5.9082090092e-07 2.1359495834e+00
2.6426741668e-01 0.0000000000e+00 2.6426741668e-01 0.0000000000e+00 1.0111093514e-08 -1.2804841769e-06 2.3496294756e+00 -5.7974398450e-07 2.3496294756e+00 -5.7974398450e-07 2.3496294756e+00
2.6582592104e-01 0.0000000000e+00 2.6582592104e-01 0.0000000000e+00 1.1005286828e-08 -1.2852253799e-06 2.5820501194e+00 -5.6803819148e-07 2.5820501194e+00 -5.6803819148e-07 2.5820501194e+00
2.6755357662e-01 0.0000000000e+00 2.6755357662e-01 0.0000000000e+00 1.1975720359e-08 -1.2912122711e-06 2.8343517593e+00 -5.5567165139e-07 2.8343517593e+00 -5.5567165139e-07 2.8343517593e+00
2.6946874213e-01 0.0000000000e+00 2.6946874213e-01 0.0000000000e+00 1.3027113650e-08 -1.2977184052e-06 3.1076220874e+00 -5.4261487206e-07 3.1076220874e+00 -5.4261487206e-07 3.1076220874e+00
2.7159176881e-01 0.0000000000e+00 2.7159176881e-01 0.0000000000e+00 1.4164112462e-08 -1.3036962440e-06 3.4028552523e+00 -5.2884158277e-07 3.4028552523e+00 -5.2884158277e-07 3.4028552523e+00
2.7394521676e-01 0.0000000000e+00 2.7394521676e-01 0.0000000000e+00 1.5391197573e-08 -1.3076834931e-06 3.7208994006e+00 -5.1432946803e-07 3.7208994006e+00 -5.1432946803e-07 3.7208994006e+00
2.7655409458e-01 0.0000000000e+00 2.7655409458e-01 0.0000000000e+00 1.6712575373e-08 -1.3077009724e-06 4.0623908628e+00 -4.9906063130e-07 4.0623908628e+00 -4.9906063130e-07 4.0623908628e+00
2.7944612518e-01 0.0000000000e+00 2.7944612518e-01 0.0000000000e+00 1.8132047126e-08 -1.3011574331e-06 4.4276738584e+00 -4.8302158820e-07 4.4276738584e+00 -4.8302158820e-07 4.4276738584e+00
2.8265204035e-01 0.0000000000e+00 2.8265204035e-01 0.0000000000e+00 1.9652852341e-08 -1.2847921672e-06 4.8167066163e+00 -4.6620257600e-07 4.8167066163e+00 -4.6620257600e-07 4.8167066163e+00
2.8620590735e-01 0.0000000000e+00 2.8620590735e-01 0.0000000000e+00 2.1277479321e-08 -1.2547090590e-06 5.2289590062e+00 -4.4859598313e-07 5.2289590062e+00 -4.4859598313e-07 5.2289590062e+00
2.9014549089e-01 0.0000000000e+00 2.9014549089e-01 0.0000000000e+00 2.3007432534e-08 -1.2065843371e-06 5.6633143530e+00 -4.3019385870e-07 5.6633143530e+00 -4.3019385870e-07 5.6633143530e+00
2.9451265444e-01 0.0000000000e+00 2.9451265444e-01 0.0000000000e+00 2.4842942636e-08 -1.1361558330e-06 6.1180001344e+00 -4.1098487565e-07 6.1180001344e+00 -4.1098487565e-07 6.1180001344e+00
2.9935380512e-01 0.0000000000e+00 2.9935380512e-01 0.0000000000e+00 2.6782602712e-08 -1.0401010368e-06 6.5905884542e+00 -3.9095183976e-07 6.5905884542e+00 -3.9095183976e-07 6.5905884542e+00
3.0472038680e-01 0.0000000000e+00 3.0472038680e-01 0.0000000000e+00 2.8822917754e-08 -9.1734170295e-07 7.0781234262e+00 -3.7007194106e-07 7.0781234262e+00 -3.7007194106e-07 7.0781234262e+00
3.1066942678e-01 0.0000000000e+00 3.1066942678e-01 0.0000000000e+00 3.0957771749e-08 -7.7061741965e-07 7.5774369654e+00 -3.4832303063e-07 7.5774369654e+00 -3.4832303063e-07 7.5774369654e+00
3.1726414176e-01 0.0000000000e+00 3.1726414176e-01 0.0000000000e+00 3.3177855402e-08 -6.0782015777e-07 8.0856842143e+00 -3.2569936129e-07 8.0856842143e+00 -3.2569936129e-07 8.0856842143e+00
3.2457460965e-01 0.0000000000e+00 3.2457460965e-01 0.0000000000e+00 3.5470160551e-08 -4.4217349054e-07 8.6010363962e+00 -3.0223788179e-07 8.6010363962e+00 -3.0223788179e-07 8.6010363962e+00
3.3267851420e-01 0.0000000000e+00 3.3267851420e-01 0.0000000000e+00 3.7817712932e-08 -2.9022022254e-07 9.1233041460e+00 -2.7804978985e-07 9.1233041460e+00 -2.7804978985e-07 9.1233041460e+00
