# step time[s] dt[s] max_speed[m/s] max_vorticity[1/s] max_delta_omega poisson_iters
0 0.0000000000e+00 0.0000000000e+00 4.0025842807e+01 8.0052353359e+06 0.0000000000e+00 180
1 1.4280695967e-06 1.4280695967e-06 4.0331692845e+01 5.4479106732e+06 1.1261934415e+06 180
2000 2.8561391934e-03 1.4280695967e-06 4.0187300114e+01 1.2542015586e+05 3.1719654831e+01 1
4000 5.7122783869e-03 1.4280695967e-06 4.0134272907e+01 1.0844227003e+05 1.5036543213e+01 1
6000 8.5684175803e-03 1.4280695967e-06 4.0091268620e+01 1.0452790155e+05 1.1215690542e+01 1
8000 1.1424556774e-02 1.4280695967e-06 4.0046370349e+01 1.0346837560e+05 9.9457470447e+00 1
10000 1.4280695967e-02 1.4280695967e-06 3.9989314657e+01 1.0309862758e+05 1.0630075216e+01 1
12000 1.7136835161e-02 1.4280695967e-06 3.9883670197e+01 1.0287238370e+05 2.3507800695e+01 14
14000 1.9992974354e-02 1.4280695967e-06 3.9889111099e+01 1.5726873002e+05 8.8470456433e+01 39
16000 2.2849113547e-02 1.4280695967e-06 4.6049507447e+01 2.3181135553e+05 1.5923327686e+02 67
18000 2.5705252741e-02 1.4280695967e-06 6.7584733124e+01 3.2898933229e+05 2.0355961932e+03 136
20000 2.8561391934e-02 1.4280695967e-06 2.9788019590e+02 3.3639155854e+06 1.2933882824e+04 180
22000 2.9556347737e-02 3.4866714261e-09 3.6781811517e+05 3.4727012246e+10 7.2354764529e+07 180
22483 2.9557543794e-02 1.0000000000e-09 nan nan 0.0000000000e+00 1
