# x y r theta psi omega ur utheta ux uy speed
5.0000000000e-03 0.0000000000e+00 5.0000000000e-03 0.0000000000e+00 0.0000000000e+00 2.4684475677e+02 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00
5.0100000000e-03 0.0000000000e+00 5.0100000000e-03 0.0000000000e+00 -1.2342237838e-08 2.0041347987e+02 -1.1962184728e-02 2.2340652902e-03 -1.1962184728e-02 2.2340652902e-03 1.2169014389e-02
5.0206216299e-03 0.0000000000e+00 5.0206216299e-03 0.0000000000e+00 -4.7351766425e-08 1.5511967280e+02 -4.5873342346e-02 4.1157458714e-03 -4.5873342346e-02 4.1157458714e-03 4.6057604172e-02
5.0319035320e-03 0.0000000000e+00 5.0319035320e-03 0.0000000000e+00 -1.0360768439e-07 1.1346081686e+02 -1.0023328661e-01 5.6207037272e-03 -1.0023328661e-01 5.6207037272e-03 1.0039075682e-01
5.0438867508e-03 0.0000000000e+00 5.0438867508e-03 0.0000000000e+00 -1.7903548729e-07 7.7694887298e+01 -1.7288947429e-01 6.7530229437e-03 -1.7288947429e-01 6.7530229437e-03 1.7302130978e-01
5.0566148823e-03 0.0000000000e+00 5.0566148823e-03 0.0000000000e+00 -2.7118842424e-07 4.9285173409e+01 -2.6132265428e-01 7.5459096379e-03 -2.6132265428e-01 7.5459096379e-03 2.6143157880e-01
5.0701342324e-03 0.0000000000e+00 5.0701342324e-03 0.0000000000e+00 -3.7759557864e-07 2.8610180385e+01 -3.6298457189e-01 8.0556940738e-03 -3.6298457189e-01 8.0556940738e-03 3.6307395064e-01
5.0844939857e-03 0.0000000000e+00 5.0844939857e-03 0.0000000000e+00 -4.9609450465e-07 1.4999216175e+01 -4.7561965550e-01 8.3510892775e-03 -4.7561965550e-01 8.3510892775e-03 4.7569296546e-01
5.0997463842e-03 0.0000000000e+00 5.0997463842e-03 0.0000000000e+00 -6.2507141626e-07 7.0159078092e+00 -5.9749658800e-01 8.5007960148e-03 -5.9749658800e-01 8.5007960148e-03 5.9755705686e-01
5.1159469173e-03 0.0000000000e+00 5.1159469173e-03 0.0000000000e+00 -7.6355670856e-07 2.9136549757e+00 -7.2749939712e-01 8.5629528718e-03 -7.2749939712e-01 8.5629528718e-03 7.2754979003e-01
5.1331545240e-03 0.0000000000e+00 5.1331545240e-03 0.0000000000e+00 -9.1117439392e-07 1.0937762261e+00 -8.6507658872e-01 8.5793688349e-03 -8.6507658872e-01 8.5793688349e-03 8.6511913048e-01
5.1514318068e-03 0.0000000000e+00 5.1514318068e-03 0.0000000000e+00 -1.0679962939e-06 3.9402467375e-01 -1.0100972196e+00 8.5753730075e-03 -1.0100972196e+00 8.5753730075e-03 1.0101336199e+00
5.1708452601e-03 0.0000000000e+00 5.1708452601e-03 0.0000000000e+00 -1.2343753141e-06 1.3951896418e-01 -1.1626857036e+00 8.5636782014e-03 -1.1626857036e+00 8.5636782014e-03 1.1627172408e+00
5.1914655117e-03 0.0000000000e+00 5.1914655117e-03 0.0000000000e+00 -1.4108155934e-06 2.1952490178e-02 -1.3230916483e+00 8.5494485066e-03 -1.3230916483e+00 8.5494485066e-03 1.3231192701e+00
5.2133675797e-03 0.0000000000e+00 5.2133675797e-03 0.0000000000e+00 -1.5978986591e-06 -6.6182766669e-02 -1.4916139414e+00 8.5343381330e-03 -1.4916139414e+00 8.5343381330e-03 1.4916383560e+00
5.2366311456e-03 0.0000000000e+00 5.2366311456e-03 0.0000000000e+00 -1.7962534374e-06 -1.5233293009e-01 -1.6685678426e+00 8.5187656745e-03 -1.6685678426e+00 8.5187656745e-03 1.6685895885e+00
5.2613408443e-03 0.0000000000e+00 5.2613408443e-03 0.0000000000e+00 -2.0065488523e-06 -2.4163265018e-01 -1.8542745216e+00 8.5028333498e-03 -1.8542745216e+00 8.5028333498e-03 1.8542940165e+00
5.2875865716e-03 0.0000000000e+00 5.2875865716e-03 0.0000000000e+00 -2.2294941966e-06 -3.3523050929e-01 -2.0490584315e+00 8.4865835879e-03 -2.0490584315e+00 8.4865835879e-03 2.0490760059e+00
5.3154638117e-03 0.0000000000e+00 5.3154638117e-03 0.0000000000e+00 -2.4658411752e-06 -4.3387437962e-01 -2.2532463755e+00 8.4700427482e-03 -2.2532463755e+00 8.4700427482e-03 2.2532622950e+00
