# index r[m] dr_to_next[m]
0 1.0000000000e-02 1.0000000000e-05
1 1.0010000000e-02 1.0667858942e-05
2 1.0020667859e-02 1.1380321441e-05
3 1.0032048180e-02 1.2140366384e-05
4 1.0044188547e-02 1.2951171609e-05
5 1.0057139718e-02 1.3816127186e-05
6 1.0070955846e-02 1.4738849595e-05
7 1.0085694695e-02 1.5723196844e-05
8 1.0101417892e-02 1.6773284605e-05
9 1.0118191177e-02 1.7893503416e-05
10 1.0136084680e-02 1.9088537043e-05
11 1.0155173217e-02 2.0363382058e-05
12 1.0175536599e-02 2.1723368738e-05
13 1.0197259968e-02 2.3174183344e-05
14 1.0220434151e-02 2.4721891901e-05
15 1.0245156043e-02 2.6372965558e-05
16 1.0271529009e-02 2.8134307645e-05
17 1.0299663316e-02 3.0013282539e-05
18 1.0329676599e-02 3.2017746452e-05
19 1.0361694345e-02 3.4156080279e-05
20 1.0395850426e-02 3.6437224643e-05
21 1.0432287650e-02 3.8870717273e-05
22 1.0471158367e-02 4.1466732884e-05
23 1.0512625100e-02 4.4236125719e-05
24 1.0556861226e-02 4.7190474931e-05
25 1.0604051701e-02 5.0342132997e-05
26 1.0654393834e-02 5.3704277366e-05
27 1.0708098111e-02 5.7290965552e-05
28 1.0765389077e-02 6.1117193916e-05
29 1.0826506271e-02 6.5198960363e-05
30 1.0891705231e-02 6.9553331232e-05
31 1.0961258562e-02 7.4198512653e-05
32 1.1035457075e-02 7.9153926669e-05
33 1.1114611002e-02 8.4440292441e-05
34 1.1199051294e-02 9.0079712878e-05
35 1.1289131007e-02 9.6095767052e-05
36 1.1385226774e-02 1.0251360878e-04
37 1.1487740383e-02 1.0936007181e-04
38 1.1597100455e-02 1.1666378200e-04
39 1.1713764237e-02 1.2445527700e-04
40 1.1838219514e-02 1.3276713397e-04
41 1.1970986648e-02 1.4163410573e-04
42 1.2112620753e-02 1.5109326613e-04
43 1.2263714020e-02 1.6118416501e-04
44 1.2424898185e-02 1.7194899361e-04
45 1.2596847178e-02 1.8343276090e-04
46 1.2780279939e-02 1.9568348186e-04
47 1.2975963421e-02 2.0875237818e-04
48 1.3184715799e-02 2.2269409242e-04
49 1.3407409892e-02 2.3756691652e-04
50 1.3644976808e-02 2.5343303547e-04
51 1.3898409844e-02 2.7035878737e-04
52 1.4168768631e-02 2.8841494074e-04
53 1.4457183572e-02 3.0767699046e-04
54 1.4764860562e-02 3.2822547339e-04
55 1.5093086036e-02 3.5014630513e-04
56 1.5443232341e-02 3.7353113922e-04
57 1.5816763480e-02 3.9847775036e-04
58 1.6215241230e-02 4.2509044324e-04
59 1.6640331673e-02 4.5348048861e-04
60 1.7093812162e-02 4.8376658854e-04
61 1.7577578751e-02 5.1607537274e-04
62 1.8093654123e-02 5.5054192799e-04
63 1.8644196051e-02 5.8731036295e-04
64 1.9231506414e-02 6.2653441071e-04
65 1.9858040825e-02 6.6837807158e-04
66 2.0526418897e-02 7.1301629875e-04
67 2.1239435195e-02 7.6063572984e-04
68 2.2000070925e-02 8.1143546722e-04
69 2.2811506392e-02 8.6562791049e-04
70 2.3677134303e-02 9.2343964454e-04
71 2.4600573947e-02 9.8511238694e-04
72 2.5585686334e-02 1.0509039986e-03
73 2.6636590333e-02 1.1210895619e-03
74 2.7757679895e-02 1.1959625307e-03
75 2.8953642426e-02 1.2758359578e-03
76 3.0229478383e-02 1.3610438031e-03
77 3.1590522186e-02 1.4519423305e-03
78 3.3042464517e-02 1.5489115974e-03
79 3.4591376114e-02 1.6523570434e-03
80 3.6243733158e-02 1.7627111861e-03
81 3.8006444344e-02 1.8804354289e-03
82 3.9886879773e-02 2.0060219905e-03
83 4.1892901763e-02 2.1399959630e-03
84 4.4032897726e-02 2.2829175069e-03
85 4.6315815233e-02 2.4353841940e-03
86 4.8751199427e-02 2.5980335051e-03
87 5.1349232932e-02 2.7715454959e-03
88 5.4120778428e-02 2.9566456402e-03
89 5.7077424068e-02 3.1541078631e-03
90 6.0231531932e-02 3.3647577772e-03
91 6.3596289709e-02 3.5894761341e-03
92 6.7185765843e-02 3.8292025074e-03
93 7.1014968350e-02 4.0849392210e-03
94 7.5099907571e-02 4.3577555396e-03
95 7.9457663111e-02 4.6487921400e-03
96 8.4106455251e-02 4.9592658801e-03
97 8.9065721131e-02 5.2904748865e-03
98 9.4356196018e-02 5.6438039825e-03
99 1.0000000000e-01 0.0000000000e+00
