# theta_deg utheta_near_wall[m/s] speed_near_wall[m/s] omega_wall[1/s] cp_bernoulli_est_near_wall
0.0000000000e+00 1.1697885372e-06 2.3367230452e-03 1.4009837183e-01 9.9999998635e-01
3.6000000000e+00 2.6269113453e-01 2.6270127593e-01 2.9393624796e+04 9.9982747010e-01
7.2000000000e+00 5.1871781538e-01 5.1872261205e-01 5.8071881557e+04 9.9932731713e-01
1.0800000000e+01 7.6324668320e-01 7.6324960082e-01 8.5514608704e+04 9.9854362512e-01
1.4400000000e+01 9.9111217159e-01 9.9111407433e-01 1.1116476129e+05 9.9754423223e-01
1.8000000000e+01 1.1963312711e+00 1.1963325023e+00 1.3437317278e+05 9.9642197136e-01
2.1600000000e+01 1.3716407083e+00 1.3716414440e+00 1.5434401447e+05 9.9529649937e-01
2.5200000000e+01 1.5083453908e+00 1.5083457535e+00 1.7011416789e+05 9.9431223272e-01
2.8800000000e+01 1.5973379393e+00 1.5973380539e+00 1.8066015847e+05 9.9362127785e-01
3.2400000000e+01 1.6328780124e+00 1.6328780188e+00 1.8533750730e+05 9.9333427344e-01
3.6000000000e+01 1.6158630504e+00 1.6158630779e+00 1.8429999999e+05 9.9347246628e-01
3.9600000000e+01 1.5482054855e+00 1.5482056518e+00 1.7783563406e+05 9.9400764815e-01
4.3200000000e+01 1.4321531998e+00 1.4321536298e+00 1.6624539640e+05 9.9487233995e-01
4.6800000000e+01 1.2707908580e+00 1.2707917113e+00 1.4991373736e+05 9.9596272107e-01
5.0400000000e+01 1.0671340356e+00 1.0671355729e+00 1.2919653230e+05 9.9715305417e-01
5.4000000000e+01 8.2350400759e-01 8.2350677357e-01 1.0434318589e+05 9.9830459148e-01
5.7600000000e+01 5.4156733654e-01 5.4157286431e-01 7.5499953197e+04 9.9926674708e-01
6.1200000000e+01 2.2296876433e-01 2.2298568903e-01 4.2784256529e+04 9.9987569346e-01
6.4800000000e+01 -1.2983601543e-01 1.2987128991e-01 6.3837765227e+03 9.9995783362e-01
6.8400000000e+01 -5.1283784929e-01 5.1284827720e-01 -3.3361609201e+04 9.9934246661e-01
7.2000000000e+01 -9.2009070023e-01 9.2009721471e-01 -7.5893502823e+04 9.9788355279e-01
7.5600000000e+01 -1.3440427449e+00 1.3440475378e+00 -1.2046701178e+05 9.9548384054e-01
7.9200000000e+01 -1.7759695805e+00 1.7759733162e+00 -1.6619536424e+05 9.9211479695e-01
8.2800000000e+01 -2.2065443719e+00 2.2065473380e+00 -2.1210859283e+05 9.8782787211e-01
8.6400000000e+01 -2.6264174345e+00 2.6264197876e+00 -2.5721571968e+05 9.8275479775e-01
9.0000000000e+01 -3.0266864961e+00 3.0266883388e+00 -3.0055711261e+05 9.7709789425e-01
9.3600000000e+01 -3.3991862683e+00 3.3991876781e+00 -3.4123846774e+05 9.7111380782e-01
9.7200000000e+01 -3.7365660052e+00 3.7365670462e+00 -3.7844195605e+05 9.6509516677e-01
1.0080000000e+02 -4.0321394527e+00 4.0321401808e+00 -4.1141096654e+05 9.5935461391e-01
1.0440000000e+02 -4.2795330599e+00 4.2795335269e+00 -4.3940584180e+05 9.5421398198e-01
1.0800000000e+02 -4.4728915678e+00 4.4728918304e+00 -4.6170969934e+05 9.4998309668e-01
1.1160000000e+02 -4.6097727627e+00 4.6097728848e+00 -4.7796296450e+05 9.4687498488e-01
1.1520000000e+02 -4.6928506531e+00 4.6928506941e+00 -4.8839827566e+05 9.4494288091e-01
