# x y speed omega solid
-1.5000000000e-02 -4.5000000000e-02 2.0608376638e+01 6.5728491083e-08 0
-1.4498607242e-02 -4.5000000000e-02 2.0625337930e+01 7.3822250104e-08 0
-1.3997214485e-02 -4.5000000000e-02 2.0642528871e+01 1.5192599226e-08 0
-1.3495821727e-02 -4.5000000000e-02 2.0659923269e+01 -4.4936763286e-08 0
-1.2994428969e-02 -4.5000000000e-02 2.0677512010e+01 -1.0651328921e-07 0
-1.2493036212e-02 -4.5000000000e-02 2.0695285643e+01 -1.6948234992e-07 0
-1.1991643454e-02 -4.5000000000e-02 2.0713215487e+01 -8.8575822538e-08 0
-1.1490250696e-02 -4.5000000000e-02 2.0731310436e+01 1.6761902160e-08 0
-1.0988857939e-02 -4.5000000000e-02 2.0749563407e+01 1.2155395635e-07 0
-1.0487465181e-02 -4.5000000000e-02 2.0767963454e+01 2.2584618062e-07 0
-9.9860724234e-03 -4.5000000000e-02 2.0786520616e+01 1.8902412487e-07 0
-9.4846796657e-03 -4.5000000000e-02 2.0805244911e+01 5.1933418356e-08 0
-8.9832869081e-03 -4.5000000000e-02 2.0824093052e+01 -7.6272430034e-08 0
-8.4818941504e-03 -4.5000000000e-02 2.0843051565e+01 -1.9623096277e-07 0
-7.9805013928e-03 -4.5000000000e-02 2.0862053965e+01 -2.2309636631e-07 0
-7.4791086351e-03 -4.5000000000e-02 2.0881051271e+01 -1.0997401024e-07 0
-6.9777158774e-03 -4.5000000000e-02 2.0900119345e+01 -7.0878856811e-09 0
-6.4763231198e-03 -4.5000000000e-02 2.0919243330e+01 8.6511932713e-08 0
-5.9749303621e-03 -4.5000000000e-02 2.0938356705e+01 1.4237768372e-07 0
-5.4735376045e-03 -4.5000000000e-02 2.0957334656e+01 1.0743212645e-07 0
-4.9721448468e-03 -4.5000000000e-02 2.0976324286e+01 7.9673516015e-08 0
-4.4707520891e-03 -4.5000000000e-02 2.0995309600e+01 5.8200615826e-08 0
-3.9693593315e-03 -4.5000000000e-02 2.1014227212e+01 3.3228544622e-08 0
-3.4679665738e-03 -4.5000000000e-02 2.1032862581e+01 -3.6891533349e-08 0
-2.9665738162e-03 -4.5000000000e-02 2.1051445669e+01 -1.0845805893e-07 0
-2.4651810585e-03 -4.5000000000e-02 2.1069959665e+01 -1.8126272826e-07 0
-1.9637883008e-03 -4.5000000000e-02 2.1088344123e+01 -2.2635231134e-07 0
-1.4623955432e-03 -4.5000000000e-02 2.1106287436e+01 -4.9728896294e-08 0
-9.6100278552e-04 -4.5000000000e-02 2.1124111101e+01 1.2527768422e-07 0
-4.5961002786e-04 -4.5000000000e-02 2.1141797873e+01 2.9957752659e-07 0
4.1782729805e-05 -4.5000000000e-02 2.1159290544e+01 4.3152149001e-07 0
5.4317548747e-04 -4.5000000000e-02 2.1176172096e+01 9.5895125330e-08 0
1.0445682451e-03 -4.5000000000e-02 2.1192864967e+01 -2.4034147061e-07 0
1.5459610028e-03 -4.5000000000e-02 2.1209351898e+01 -5.7871184351e-07 0
2.0473537604e-03 -4.5000000000e-02 2.1225584866e+01 -8.6858837092e-07 0
2.5487465181e-03 -4.5000000000e-02 2.1241021992e+01 -2.2175270853e-07 0
3.0501392758e-03 -4.5000000000e-02 2.1256201678e+01 4.2706458865e-07 0
3.5515320334e-03 -4.5000000000e-02 2.1271107084e+01 1.0787396805e-06 0
4.0529247911e-03 -4.5000000000e-02 2.1285717597e+01 1.7251078818e-06 0
4.5543175487e-03 -4.5000000000e-02 2.1299322943e+01 7.9186346990e-07 0
5.0557103064e-03 -4.5000000000e-02 2.1312604410e+01 -1.4649942009e-07 0
5.5571030641e-03 -4.5000000000e-02 2.1325546007e+01 -1.0908921525e-06 0
6.0584958217e-03 -4.5000000000e-02 2.1338132046e+01 -2.0422141694e-06 0
6.5598885794e-03 -4.5000000000e-02 2.1349583667e+01 -1.9604249505e-06 0
7.0612813370e-03 -4.5000000000e-02 2.1360588221e+01 -1.7138951877e-06 0
7.5626740947e-03 -4.5000000000e-02 2.1371192084e+01 -1.3738878172e-06 0
8.0640668524e-03 -4.5000000000e-02 2.1381380877e+01 -9.3171451423e-07 0
8.5654596100e-03 -4.5000000000e-02 2.1390381550e+01 2.0598429853e-06 0
9.0668523677e-03 -4.5000000000e-02 2.1398746076e+01 5.3116961862e-06 0
9.5682451253e-03 -4.5000000000e-02 2.1406655772e+01 8.1150524431e-06 0
1.0069637883e-02 -4.5000000000e-02 2.1414097879e+01 1.0438548551e-05 0
1.0571030641e-02 -4.5000000000e-02 2.1420821740e+01 4.2321977295e-06 0
1.1072423398e-02 -4.5000000000e-02 2.1426870995e+01 -6.7864116343e-06 0
1.1573816156e-02 -4.5000000000e-02 2.1432480742e+01 -1.6892930492e-05 0
1.2075208914e-02 -4.5000000000e-02 2.1437641658e+01 -2.6038071664e-05 0
1.2576601671e-02 -4.5000000000e-02 2.1441963297e+01 -2.4859684169e-05 0
1.3077994429e-02 -4.5000000000e-02 2.1444989565e+01 -3.8663153708e-06 0
1.3579387187e-02 -4.5000000000e-02 2.1447548910e+01 1.5711905742e-05 0
1.4080779944e-02 -4.5000000000e-02 2.1449633849e+01 3.3814832001e-05 0
1.4582172702e-02 -4.5000000000e-02 2.1451237309e+01 5.0384553804e-05 0
1.5083565460e-02 -4.5000000000e-02 2.1451120290e+01 2.9815023841e-05 0
1.5584958217e-02 -4.5000000000e-02 2.1450414659e+01 6.8024371098e-06 0
1.6086350975e-02 -4.5000000000e-02 2.1449219768e+01 -1.5526515220e-05 0
1.6587743733e-02 -4.5000000000e-02 2.1447530384e+01 -3.7150575698e-05 0
1.7089136490e-02 -4.5000000000e-02 2.1444760373e+01 -4.6130340343e-05 0
1.7590529248e-02 -4.5000000000e-02 2.1440623548e+01 -3.5138644810e-05 0
1.8091922006e-02 -4.5000000000e-02 2.1435993899e+01 -2.1458994298e-05 0
1.8593314763e-02 -4.5000000000e-02 2.1430867959e+01 -5.0242008526e-06 0
1.9094707521e-02 -4.5000000000e-02 2.1426422763e+01 8.5599341749e-06 0
1.9596100279e-02 -4.5000000000e-02 2.1420624868e+01 1.9862629193e-05 0
2.0097493036e-02 -4.5000000000e-02 2.1413991318e+01 3.0283871197e-05 0
2.0598885794e-02 -4.5000000000e-02 2.1406953966e+01 3.9824509682e-05 0
2.1100278552e-02 -4.5000000000e-02 2.1399511819e+01 4.8470666627e-05 0
2.1601671309e-02 -4.5000000000e-02 2.1391664124e+01 5.6209406715e-05 0
2.2103064067e-02 -4.5000000000e-02 2.1382015598e+01 4.0524873868e-05 0
2.2604456825e-02 -4.5000000000e-02 2.1371762954e+01 2.2386784716e-05 0
2.3105849582e-02 -4.5000000000e-02 2.1361131500e+01 5.5680356984e-06 0
2.3607242340e-02 -4.5000000000e-02 2.1350121580e+01 -9.9149184702e-06 0
2.4108635097e-02 -4.5000000000e-02 2.1338733718e+01 -2.4046940758e-05 0
2.4610027855e-02 -4.5000000000e-02 2.1325662363e+01 -6.7588525471e-05 0
2.5111420613e-02 -4.5000000000e-02 2.1312552610e+01 -1.1386179652e-04 0
2.5612813370e-02 -4.5000000000e-02 2.1300330847e+01 -1.4539525880e-04 0
2.6114206128e-02 -4.5000000000e-02 2.1287844898e+01 -1.5370372844e-04 0
2.6615598886e-02 -4.5000000000e-02 2.1275096176e+01 -1.3862198924e-04 0
2.7116991643e-02 -4.5000000000e-02 2.1261317493e+01 -2.3210296600e-05 0
2.7618384401e-02 -4.5000000000e-02 2.1246406088e+01 1.5550281740e-04 0
2.8119777159e-02 -4.5000000000e-02 2.1231275873e+01 2.8863176411e-04 0
2.8621169916e-02 -4.5000000000e-02 2.1215928622e+01 3.7597747972e-04 0
2.9122562674e-02 -4.5000000000e-02 2.1200366148e+01 4.1737373167e-04 0
2.9623955432e-02 -4.5000000000e-02 2.1184590303e+01 4.1268592667e-04 0
3.0125348189e-02 -4.5000000000e-02 2.1167238251e+01 9.1782918263e-05 0
3.0626740947e-02 -4.5000000000e-02 2.1150132797e+01 -2.2405027697e-04 0
3.1128133705e-02 -4.5000000000e-02 2.1134304454e+01 -4.3066539188e-04 0
3.1629526462e-02 -4.5000000000e-02 2.1118374362e+01 -5.2047125136e-04 0
3.2130919220e-02 -4.5000000000e-02 2.1102344095e+01 -4.9343710384e-04 0
3.2632311978e-02 -4.5000000000e-02 2.1086215210e+01 -3.4959657697e-04 0
3.3133704735e-02 -4.5000000000e-02 2.1068635912e+01 -1.4327677042e-05 0
3.3635097493e-02 -4.5000000000e-02 2.1050813625e+01 1.8139222549e-04 0
3.4136490251e-02 -4.5000000000e-02 2.1032943927e+01 2.0961485291e-04 0
3.4637883008e-02 -4.5000000000e-02 2.1015028134e+01 7.0653568610e-05 0
3.5139275766e-02 -4.5000000000e-02 2.0997067528e+01 -2.3510218223e-04 0
3.5640668524e-02 -4.5000000000e-02 2.0979063355e+01 -7.0719064258e-04 0
3.6142061281e-02 -4.5000000000e-02 2.0962297317e+01 -8.8879086072e-04 0
3.6643454039e-02 -4.5000000000e-02 2.0944963575e+01 -5.5969246973e-04 0
3.7144846797e-02 -4.5000000000e-02 2.0927676567e+01 -1.3978420006e-05 0
3.7646239554e-02 -4.5000000000e-02 2.0910436765e+01 7.4747249070e-04 0
3.8147632312e-02 -4.5000000000e-02 2.0893244594e+01 1.7237062401e-03 0
3.8649025070e-02 -4.5000000000e-02 2.0876100432e+01 2.9136978700e-03 0
3.9150417827e-02 -4.5000000000e-02 2.0859004612e+01 4.3163556399e-03 0
3.9651810585e-02 -4.5000000000e-02 2.0841105051e+01 3.7994919480e-03 0
4.0153203343e-02 -4.5000000000e-02 2.0822876393e+01 1.9658268066e-03 0
4.0654596100e-02 -4.5000000000e-02 2.0804744069e+01 -2.3359577648e-04 0
4.1155988858e-02 -4.5000000000e-02 2.0788414564e+01 -2.6396700692e-03 0
4.1657381616e-02 -4.5000000000e-02 2.0772447271e+01 -4.7163988516e-03 0
4.2158774373e-02 -4.5000000000e-02 2.0756594487e+01 -6.4435909473e-03 0
4.2660167131e-02 -4.5000000000e-02 2.0740855662e+01 -7.8237880738e-03 0
4.3161559889e-02 -4.5000000000e-02 2.0724930786e+01 -7.5174669844e-03 0
4.3662952646e-02 -4.5000000000e-02 2.0708351365e+01 -3.6710620800e-03 0
4.4164345404e-02 -4.5000000000e-02 2.0691927541e+01 -5.6767445584e-05 0
4.4665738162e-02 -4.5000000000e-02 2.0675658259e+01 3.3273333427e-03 0
4.5167130919e-02 -4.5000000000e-02 2.0659542432e+01 6.4831860787e-03 0
4.5668523677e-02 -4.5000000000e-02 2.0643578942e+01 9.4127630515e-03 0
4.6169916435e-02 -4.5000000000e-02 2.0629251412e+01 9.0949318920e-03 0
4.6671309192e-02 -4.5000000000e-02 2.0615294611e+01 6.2255582154e-03 0
4.7172701950e-02 -4.5000000000e-02 2.0601300902e+01 8.2634224023e-04 0
4.7674094708e-02 -4.5000000000e-02 2.0586769254e+01 -4.7112901536e-03 0
4.8175487465e-02 -4.5000000000e-02 2.0572422857e+01 -7.1772224138e-03 0
4.8676880223e-02 -4.5000000000e-02 2.0558260020e+01 -6.5998533745e-03 0
4.9178272981e-02 -4.5000000000e-02 2.0544279036e+01 -3.0077714093e-03 0
4.9679665738e-02 -4.5000000000e-02 2.0530478189e+01 3.5702750876e-03 0
5.0181058496e-02 -4.5000000000e-02 2.0516855754e+01 1.3105405748e-02 0
5.0682451253e-02 -4.5000000000e-02 2.0503409995e+01 2.5568634856e-02 0
5.1183844011e-02 -4.5000000000e-02 2.0491270631e+01 4.6513229524e-02 0
5.1685236769e-02 -4.5000000000e-02 2.0479323404e+01 6.3378878861e-02 0
5.2186629526e-02 -4.5000000000e-02 2.0467140049e+01 5.7276127453e-02 0
5.2688022284e-02 -4.5000000000e-02 2.0455155629e+01 4.2645754256e-02 0
5.3189415042e-02 -4.5000000000e-02 2.0443368042e+01 1.9575612597e-02 0
5.3690807799e-02 -4.5000000000e-02 2.0431775186e+01 -1.1846497923e-02 0
5.4192200557e-02 -4.5000000000e-02 2.0420374966e+01 -5.1532887275e-02 0
5.4693593315e-02 -4.5000000000e-02 2.0409165292e+01 -9.9396027629e-02 0
5.5194986072e-02 -4.5000000000e-02 2.0398144081e+01 -1.5534860289e-01 0
5.5696378830e-02 -4.5000000000e-02 2.0387309257e+01 -2.1930355528e-01 0
5.6197771588e-02 -4.5000000000e-02 2.0377293795e+01 -2.9145996743e-01 0
5.6699164345e-02 -4.5000000000e-02 2.0367578435e+01 -2.9767518524e-01 0
5.7200557103e-02 -4.5000000000e-02 2.0357776553e+01 -2.3229819282e-01 0
5.7701949861e-02 -4.5000000000e-02 2.0348156147e+01 -1.5327431001e-01 0
5.8203342618e-02 -4.5000000000e-02 2.0338715128e+01 -6.0754353930e-02 0
5.8704735376e-02 -4.5000000000e-02 2.0329451422e+01 4.5111672693e-02 0
5.9206128134e-02 -4.5000000000e-02 2.0320362970e+01 1.6417463515e-01 0
5.9707520891e-02 -4.5000000000e-02 2.0311447727e+01 2.9628631666e-01 0
6.0208913649e-02 -4.5000000000e-02 2.0302703665e+01 4.4129946469e-01 0
6.0710306407e-02 -4.5000000000e-02 2.0294128772e+01 5.9906783387e-01 0
6.1211699164e-02 -4.5000000000e-02 2.0285817948e+01 7.6718386386e-01 0
6.1713091922e-02 -4.5000000000e-02 2.0278366913e+01 9.2754081827e-01 0
6.2214484680e-02 -4.5000000000e-02 2.0270986454e+01 8.8952476980e-01 0
6.2715877437e-02 -4.5000000000e-02 2.0263705271e+01 6.7839870607e-01 0
6.3217270195e-02 -4.5000000000e-02 2.0256592245e+01 4.5504131100e-01 0
6.3718662953e-02 -4.5000000000e-02 2.0249645358e+01 2.1959228359e-01 0
6.4220055710e-02 -4.5000000000e-02 2.0242862608e+01 -2.7809835547e-02 0
