# theta_deg x y tau_wall omega_wall utheta_near
0.0000000000e+00 2.5000000000e-01 0.0000000000e+00 1.8201304406e-06 -9.9787853101e-02 -9.9066523282e-07
3.0000000000e+00 2.4965738369e-01 1.3083989061e-02 3.4202000134e-01 -1.8751096565e+04 -1.8832030472e-01
6.0000000000e+00 2.4863047384e-01 2.6132115817e-02 6.6604295626e-01 -3.6515512953e+04 -3.6660535105e-01
9.0000000000e+00 2.4692208515e-01 3.9108616260e-02 9.7140185810e-01 -5.3256680817e+04 -5.3450535715e-01
1.2000000000e+01 2.4453690018e-01 5.1977922704e-02 1.2651754249e+00 -6.9362687769e+04 -6.9598233316e-01
1.5000000000e+01 2.4148145657e-01 6.4704761276e-02 1.5534480699e+00 -8.5167109094e+04 -8.5441949994e-01
1.8000000000e+01 2.3776412907e-01 7.7254248594e-02 1.8392267597e+00 -1.0083480042e+05 -1.0114723733e+00
2.1000000000e+01 2.3339510662e-01 8.9591987386e-02 2.1230979756e+00 -1.1639791533e+05 -1.1674482550e+00
2.4000000000e+01 2.2838636441e-01 1.0168416077e-01 2.4044038346e+00 -1.3182038567e+05 -1.3219673436e+00
2.7000000000e+01 2.2275163105e-01 1.1349762493e-01 2.6820773428e+00 -1.4704371397e+05 -1.4744284736e+00
3.0000000000e+01 2.1650635095e-01 1.2500000000e-01 2.9550313545e+00 -1.6200829794e+05 -1.6242239855e+00
3.3000000000e+01 2.0966764199e-01 1.3615975875e-01 3.2222731472e+00 -1.7665971202e+05 -1.7708016783e+00
3.6000000000e+01 2.0225424859e-01 1.4694631307e-01 3.4829085210e+00 -1.9094893207e+05 -1.9136659340e+00
3.9000000000e+01 1.9428649036e-01 1.5733009776e-01 3.7361189482e+00 -2.0483108269e+05 -2.0523644645e+00
4.2000000000e+01 1.8578620637e-01 1.6728265159e-01 3.9811398174e+00 -2.1826424437e+05 -2.1864760210e+00
4.5000000000e+01 1.7677669530e-01 1.7677669530e-01 4.2172450912e+00 -2.3120861245e+05 -2.3156018220e+00
4.8000000000e+01 1.6728265159e-01 1.8578620637e-01 4.4437375515e+00 -2.4362596226e+05 -2.4393601366e+00
